        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption (W) [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2019-08-24 22:00:13 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            663   ,         31   ,                       14   ,                  10   ,                    2   ,                    41.3   ,                        13.8   ,              16   , 0.7060   ,               39.8   ,                  7107   ,
2019-08-24 22:00:14 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            670   ,         31   ,                       14   ,                  11   ,                    2   ,                    43.0   ,                        14.3   ,              16   , 0.7060   ,               39.8   ,                  7196   ,
2019-08-24 22:00:15 ,         675.0   ,            202.5   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            668   ,         26   ,                       12   ,                  23   ,                    1   ,                    41.4   ,                        13.8   ,              16   , 0.7060   ,               39.8   ,                  7136   ,
2019-08-24 22:00:16 ,        1020.0   ,            202.5   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            658   ,         14   ,                        7   ,                  30   ,                    1   ,                    43.4   ,                        14.5   ,              16   , 0.7060   ,               39.6   ,                  7236   ,
2019-08-24 22:00:17 ,        1020.0   ,            202.5   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            658   ,         12   ,                        6   ,                   6   ,                    1   ,                    43.6   ,                        14.5   ,              16   , 0.7060   ,               39.6   ,                  7232   ,
2019-08-24 22:00:18 ,         435.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            669   ,         20   ,                        9   ,                   8   ,                    2   ,                    42.4   ,                        14.1   ,              16   , 0.7060   ,               39.8   ,                  7276   ,
2019-08-24 22:00:19 ,         435.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            675   ,         37   ,                       17   ,                  13   ,                    2   ,                    42.8   ,                        14.3   ,              16   , 0.7060   ,               39.8   ,                  7279   ,
2019-08-24 22:00:20 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            672   ,         33   ,                       15   ,                  12   ,                    3   ,                    40.4   ,                        13.5   ,              16   , 0.7060   ,               40.0   ,                  7294   ,
2019-08-24 22:00:21 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            713   ,         23   ,                       11   ,                  10   ,                    1   ,                    40.2   ,                        13.4   ,              16   , 0.7060   ,               40.8   ,                  7324   ,
2019-08-24 22:00:22 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            656   ,         26   ,                       11   ,                  10   ,                    2   ,                    41.6   ,                        13.9   ,              16   , 0.7060   ,               40.6   ,                  7167   ,
